Name: SJO RBC,,,,
Description: Managed account,,,,
Account#: 478902,,,,
Email: trudel@gmail.com,,,,
Address: 4700 Keele Street, Toronto, M3J 1P3,,
Phone: 416-736-2100 x70000,,,,
Evaluation Period: 2012-01-01 to 2013-01-01,,,,
,,,,
Transaction Date,Market Value,Cash Flow,Agent Fees,Benchmark
2005-09-30,306938,,,
2006-01-01,311353,,,24.1%
2006-02-01,321108,16500,,
2007-01-01,353140,,,17.3%
2007-02-01,357745,18500,,
2008-01-01,388271,,,9.8%
2008-02-01,389223,19000,
2009-01-01,308952,,,-33.0%
2010-01-01,369528,,,35.1%
2011-01-01,400061,,,17.6%
2011-02-01,401214,12000,,,
2012-01-01,410948,,,-8.7%
2012-02-01,420504,12450,,
2013-01-01,429265,,,7.2%
