Name: robert 45
"Description: BMO RRSP, bonds and equities",,,,
,,,,
Email: trudel@gmail.com,,,,
"Address: 4700 Keele Street, Toronto,  M3J 1P3",,,,
Phone: 416-736-2100 x70000,,,,
Evaluation Period: 2008-01-01 to 2008-09-30,,,,
,,,,
Transaction Date,  Market Value,Cash Flow,Agent Fees,Benchmark
2007-01-01,200000,,,
2007-02-01,205000,-205000,,
2007-02-11,0,,,
2007-06-30,0,,,
2008-01-01,0,,,15.00%
2008-05-14,0,16000,,
2008-09-10,0,,,
2008-09-30,0,50000,1000,
2009-01-01,330000,,,35.00%
2009-02-20,450000,17000,,
2009-04-01,690000,,,42.00%,,,,,,,
,,,,,
,,,,,
