Name: Trudel Stonehead,,,,
Description: BMO RRSP, bonds and equities,,,
Account#: 478902,,,,
Email: trudel@gmail.com,,,,
Address: 4700 Keele Street, Toronto, M3J 1P3,,
Phone: 416-736-2100 x70000,,,,
Evaluation Period: 1925-06-16 to 1978-01-13,,,,
,,,,
Transaction Date,Market Value,Cash Flow,Agent Fees,Benchmark
1900-01-01,4684,40265,,125%,,,
1900-04-24,709638,-29686,,,,,
1901-01-01,422732,76314,,34%,,,
1901-07-06,376124,33763,,,,,
1902-01-01,123088,-119488,,138%,,,
1903-01-01,255389,-178607,,179%,,,
1903-08-10,397814,-188010,,,,,
1903-10-16,324569,-34821,,,,,
1904-01-01,298045,-124966,,-43%,,,
1904-09-10,259288,-158784,,,,,
1905-01-01,993390,-524174,,25%,,,
1905-01-19,931832,-624642,,,,,
1905-02-14,247119,-141869,,,,,
1905-06-06,371304,7973,,,,,
1906-01-01,313441,-286716,,-13%,,,
1907-01-01,714895,-32340,,-45%,,,
1907-09-29,395127,-363872,,,,,
1908-01-01,479766,-224213,,25%,,,
1909-01-01,881250,59890,,142%,,,
1910-01-01,972859,-427461,,17%,,,
1910-10-25,919502,-644181,,,,,
1911-01-01,896680,-252176,,168%,,,
1911-02-10,614462,98313,,,,,
1911-06-12,500591,-95167,,,,,
1911-10-21,567456,-109908,,,,,
1912-01-01,153343,-116254,,174%,,,
1913-01-01,151171,-91001,,-59%,,,
1914-01-01,317148,-47655,,-41%,,,
1915-01-01,52508,56548,,90%,,,
1915-06-06,341709,84055,,,,,
1915-10-15,966233,77000,,,,,
1916-01-01,3474,33276,,65%,,,
1916-01-05,593045,-538594,,,,,
1917-01-01,238345,-88822,,6%,,,
1918-01-01,481926,19010,,-59%,,,
1918-04-08,608215,-568077,,,,,
1918-09-13,46692,57639,,,,,
1919-01-01,566066,-138405,,163%,,,
1920-01-01,323853,-278769,,121%,,,
1920-04-22,952594,-50948,,,,,
1921-01-01,292876,-248217,,38%,,,
1921-05-16,126206,50561,,,,,
1922-01-01,415301,-326258,,57%,,,
1922-08-01,146512,-8412,,,,,
1923-01-01,104616,34865,,-08%,,,
1924-01-01,377336,-115710,,-62%,,,
1924-05-17,625023,-38417,,,,,
1924-05-26,624119,-465563,,,,,
1925-01-01,998060,-940090,,-42%,,,
1925-05-27,243567,-66875,,,,,
1925-06-16,318857,-159035,,,,,
1926-01-01,125750,50079,,-95%,,,
1927-01-01,449235,-3475,,-99%,,,
1928-01-01,153761,97271,,63%,,,
1929-01-01,260800,-186358,,-17%,,,
1929-04-07,364464,77046,,,,,
1929-07-27,664284,-358032,,,,,
1929-10-01,953350,-887707,,,,,
1930-01-01,815683,59898,,106%,,,
1931-01-01,165598,-11208,,21%,,,
1932-01-01,572572,-503402,,116%,,,
1932-04-25,299668,-277171,,,,,
1932-05-21,393506,72899,,,,,
1933-01-01,219748,-212133,,152%,,,
1934-01-01,556238,-551708,,13%,,,
1935-01-01,732626,-66508,,-96%,,,
1935-08-06,246732,-34847,,,,,
1936-01-01,795566,-331668,,-83%,,,
1936-06-17,606563,-448459,,,,,
1937-01-01,898017,-845169,,73%,,,
1938-01-01,404822,78740,,-84%,,,
1939-01-01,819181,-203056,,-2%,,,
1940-01-01,450916,-226768,,33%,,,
1940-04-26,470099,-289965,,,,,
1941-01-01,482665,-34923,,-85%,,,
1941-09-29,384267,-196481,,,,,
1942-01-01,565736,-498095,,-69%,,,
1942-04-25,311330,-52465,,,,,
1942-07-24,741508,-396894,,,,,
1942-08-20,887910,-493417,,,,,
1943-01-01,725664,-73925,,145%,,,
1943-06-07,199773,-180861,,,,,
1944-01-01,488896,38637,,-41%,,,
1944-03-31,595590,-154778,,,,,
1945-01-01,828554,-349460,,-10%,,,
1945-03-18,786217,-74694,,,,,
1946-01-01,121341,-40079,,-8%,,,
1947-01-01,370639,90141,,67%,,,
1948-01-01,755531,-99038,,15%,,,
1948-01-13,499720,-438314,,,,,
1948-05-12,382523,-232194,,,,,
1949-01-01,505894,-291280,,99%,,,
1950-01-01,638009,-464324,,-40%,,,
1951-01-01,447764,-396129,,-72%,,,
1952-01-01,445735,-69643,,-38%,,,
1952-08-26,8392,30254,,,,,
1953-01-01,800761,-499634,,-58%,,,
1953-11-05,854590,-724441,,,,,
1954-01-01,660100,-40781,,-81%,,,
1954-06-05,52668,81885,,,,,
1954-07-18,494819,-11471,,,,,
1955-01-01,635507,-174716,,-41%,,,
1955-05-06,629303,41227,,,,,
1956-01-01,3204,4833,,7%,,,
1956-01-05,68683,-9013,,,,,
1956-03-14,186429,-155015,,,,,
1956-04-01,874186,-359534,,,,,
1956-07-12,357021,-185779,,,,,
1957-01-01,470043,-262275,,-28%,,,
1957-02-08,939940,-255093,,,,,
1957-05-22,849107,-642750,,,,,
1958-01-01,97004,68849,,-4%,,,
1958-11-15,668154,-483643,,,,,
1959-01-01,707634,-631008,,196%,,,
1959-07-30,720533,-553474,,,,,
1959-09-25,14261,40454,,,,,
1960-01-01,723303,-626823,,-78%,,,
1961-01-01,326734,-271627,,106%,,,
1961-11-21,198930,-137952,,,,,
1962-01-01,878526,-410179,,104%,,,
1962-12-01,862545,-17966,,,,,
1963-01-01,795005,-226655,,-45%,,,
1963-05-18,850927,-599578,,,,,
